sample	category	value
PT_0001-A-pre	Purity	0.23
PT_0001-B-post	Purity	0.64
PT_0001-C-post	Purity	0.58
PT_0002-C-pre	Purity	0.5
PT_0002-B-post	Purity	0.95
PT_0003-C-pre	Purity	0.26
PT_0003-B-post	Purity	0.9
PT_0004-B-post	Purity	0.42
PT_0004-C-post	Purity	0.49
PT_0005-C-pre	Purity	0.29
PT_0005-A-pre	Purity	0.0975
PT_0005-B-post	Purity	0.21
PT_0006-A-pre	Purity	0.87
PT_0006-B-pre	Purity	0.3126
PT_0006-C-post	Purity	0.0441
PT_0007-A-pre	Purity	0.83
PT_0007-B-post	Purity	0.18
PT_1002-A-pre	Purity	0.62
PT_1002-B-post	Purity	0.71
PT_1005-A-pre	Purity	0.1439
PT_1005-B-post	Purity	0.69
PT_1006-A-pre	Purity	0.6588
PT_1006-B-post	Purity	0.45
PT_1009-A-pre	Purity	0.53
PT_1009-B-post	Purity	0.58
PT_1015-A-pre	Purity	0.56
PT_1015-B-pre	Purity	0.39
PT_1015-D-post	Purity	0.5
PT_1030-A-pre	Purity	0.0546
PT_1030-B-post	Purity	0.76
PT_1041-A-pre	Purity	0.47
PT_1041-B-post	Purity	0.8
PT_1101-A-pre	Purity	0.59
PT_1101-B-post	Purity	0.0807
PT_1108-C-pre	Purity	0.51
PT_1108-A-pre	Purity	0.5
PT_1108-B-post	Purity	0.9
PT_1112-C-pre	Purity	0.36
PT_1112-A-pre	Purity	0.33
PT_1112-B-post	Purity	0.45
PT_1173-A-pre	Purity	0.22
PT_1173-B-post	Purity	0.34
PT_1328-B-post	Purity	0.95
PT_1534-C-pre	Purity	0.18
PT_1573-A-pre	Purity	0.68
PT_1573-B-post	Purity	0.38
PT_1099-A-pre	Purity	0.27
PT_1099-B-post	Purity	0.34
Space_PT_0001_1	Purity	0
Space_PT_0001_2	Purity	0
Space_PT_0002_1	Purity	0
Space_PT_0002_2	Purity	0
Space_PT_0003_1	Purity	0
Space_PT_0003_2	Purity	0
Space_PT_0004_1	Purity	0
Space_PT_0004_2	Purity	0
Space_PT_0005_1	Purity	0
Space_PT_0005_2	Purity	0
Space_PT_0006_1	Purity	0
Space_PT_0006_2	Purity	0
Space_PT_0007_1	Purity	0
Space_PT_0007_2	Purity	0
Space_PT_1002_1	Purity	0
Space_PT_1002_2	Purity	0
Space_PT_1005_1	Purity	0
Space_PT_1005_2	Purity	0
Space_PT_1006_1	Purity	0
Space_PT_1006_2	Purity	0
Space_PT_1009_1	Purity	0
Space_PT_1009_2	Purity	0
Space_PT_1015_1	Purity	0
Space_PT_1015_2	Purity	0
Space_PT_1030_1	Purity	0
Space_PT_1030_2	Purity	0
Space_PT_1041_1	Purity	0
Space_PT_1041_2	Purity	0
Space_PT_1099_1	Purity	0
Space_PT_1099_2	Purity	0
Space_PT_1101_1	Purity	0
Space_PT_1101_2	Purity	0
Space_PT_1108_1	Purity	0
Space_PT_1108_2	Purity	0
Space_PT_1112_1	Purity	0
Space_PT_1112_2	Purity	0
Space_PT_1173_1	Purity	0
Space_PT_1173_2	Purity	0
Space_PT_1328_1	Purity	0
Space_PT_1328_2	Purity	0
Space_PT_1573_1	Purity	0
Space_PT_1573_2	Purity	0
