sample	Clonal	Subclonal
PT_0001-A-pre	9.172427508645482	10.344295907915816
PT_0001-B-post	9.179909090014934	10.597121428789569
PT_0001-C-post	9.179909090014934	10.794415866350105
PT_0002-C-pre	8.016808287686555	6.044394119358453
PT_0002-B-post	8.044394119358454	7.546894459887636
PT_0003-C-pre	8.326429487122303	6.9886846867721655
PT_0003-B-post	8.383704292474052	6.599912842187128
PT_0004-B-post	8.299208018	9.066089190457772
PT_0004-C-post	8.294620748891626	10.118941072723507
PT_0005-C-pre	8.082149041	4.807354922057604
PT_0005-A-pre	8.038918989292302	4.643856189774724
PT_0005-B-post	8.033423002	4.954196310386875
PT_0006-A-pre	7.507794640198696	6.392317422778761
PT_0006-B-pre	7.459431618637297	6
PT_0006-C-post	7.339850002884624	5.614709844115208
PT_0007-A-pre	8.463524373	6.832890014164741
PT_0007-B-post	8.463524373	6.906890595608519
PT_1002-A-pre	6.727920454563199	5.584962500721156
PT_1002-B-post	6.727920454563199	6.554588851677638
PT_1005-A-pre	10.234817431117325	7.348728154231077
PT_1005-B-post	10.259743263690781	7.366322214245816
PT_1006-A-pre	8.400879436282183	6.658211482751795
PT_1006-B-post	8.400879436282183	6.491853096329675
PT_1009-A-pre	8.921840937	5.781359714
PT_1009-B-post	8.924812504	5.807354922057604
PT_1015-A-pre	7.614709844115208	6.3750394313469245
PT_1015-B-pre	7.622051819456376	7.912889336229962
PT_1015-D-post	7.592457037268081	5.426264754702098
PT_1030-A-pre	8.569855608330949	10.131856960608793
PT_1030-B-post	8.897845456005511	11.191059214531656
PT_1041-A-pre	8.154818109052105	7.209453366
PT_1041-B-post	8.154818109052105	7.285402218862249
PT_1101-A-pre	9.076815597050832	6.672425341971495
PT_1101-B-post	9.055282435501189	8.897845456005511
PT_1108-C-pre	4.321928094887363	4.247927513443585
PT_1108-A-pre	4.321928094887363	2
PT_1108-B-post	4.321928094887363	5
PT_1112-C-pre	8.499845887083206	5.491853096329675
PT_1112-A-pre	8.447083226209653	4.954196310386875
PT_1112-B-post	8.499845887083206	5.930737337562887
PT_1173-A-pre	8.495855027	5.554588851677638
PT_1173-B-post	8.584962500721156	6.741466986401147
PT_1328-B-post	9.823367240046235	5.857980995127572
PT_1534-C-pre	9.214319120800766	0
PT_1573-A-pre	8.483815777264256	5.087462841250339
PT_1573-B-post	8.483815777264256	6.247927513443585
PT_1099-A-pre	8.618385502258606	7.622051819456376
PT_1099-B-post	8.618385502258606	7.924812503605781
